size,sample,flat,voltage,reconstructed,csv,roi
0.261,/afs/psi.ch/project/hedpc/raw_data/2016/pilatus/2016_08_03/microspheres/series.160803.140452509086.h5,/afs/psi.ch/project/hedpc/raw_data/2016/pilatus/2016_08_03/microspheres/series.160803.140752701760.h5,80,/afs/psi.ch/project/hedpc/raw_data/2016/pilatus/2016_08_03/microspheres/series.160803.140452509086_series.160803.140752701760.h5,data/series.160803.140452509086_series.160803.140752701760.csv,data/series.160803.140452509086_series.160803.140752701760.roi
0.507,/afs/psi.ch/project/hedpc/raw_data/2016/pilatus/2016_08_03/microspheres/series.160803.141357503069.h5,/afs/psi.ch/project/hedpc/raw_data/2016/pilatus/2016_08_03/microspheres/series.160803.141620613255.h5,80,/afs/psi.ch/project/hedpc/raw_data/2016/pilatus/2016_08_03/microspheres/series.160803.141357503069_series.160803.141620613255.h5,data/series.160803.141357503069_series.160803.141620613255.csv,data/series.160803.141357503069_series.160803.141620613255.roi
0.69,/afs/psi.ch/project/hedpc/raw_data/2016/pilatus/2016_08_03/microspheres/series.160803.142157097914.h5,/afs/psi.ch/project/hedpc/raw_data/2016/pilatus/2016_08_03/microspheres/series.160803.142419998785.h5,80,/afs/psi.ch/project/hedpc/raw_data/2016/pilatus/2016_08_03/microspheres/series.160803.142157097914_series.160803.142419998785.h5,data/series.160803.142157097914_series.160803.142419998785.csv,data/series.160803.142157097914_series.160803.142419998785.roi
0.89,/afs/psi.ch/project/hedpc/raw_data/2016/pilatus/2016_08_03/microspheres/series.160803.142949728598.h5,/afs/psi.ch/project/hedpc/raw_data/2016/pilatus/2016_08_03/microspheres/series.160803.143212849121.h5,80,/afs/psi.ch/project/hedpc/raw_data/2016/pilatus/2016_08_03/microspheres/series.160803.142949728598_series.160803.143212849121.h5,data/series.160803.142949728598_series.160803.143212849121.csv,data/series.160803.142949728598_series.160803.143212849121.roi
1.18,/afs/psi.ch/project/hedpc/raw_data/2016/pilatus/2016_08_03/microspheres/series.160803.143655398680.h5,/afs/psi.ch/project/hedpc/raw_data/2016/pilatus/2016_08_03/microspheres/series.160803.143918635654.h5,80,/afs/psi.ch/project/hedpc/raw_data/2016/pilatus/2016_08_03/microspheres/series.160803.143655398680_series.160803.143918635654.h5,data/series.160803.143655398680_series.160803.143918635654.csv,data/series.160803.143655398680_series.160803.143918635654.roi
1.54,/afs/psi.ch/project/hedpc/raw_data/2016/pilatus/2016_08_03/microspheres/series.160803.144507150166.h5,/afs/psi.ch/project/hedpc/raw_data/2016/pilatus/2016_08_03/microspheres/series.160803.144730273033.h5,80,/afs/psi.ch/project/hedpc/raw_data/2016/pilatus/2016_08_03/microspheres/series.160803.144507150166_series.160803.144730273033.h5,data/series.160803.144507150166_series.160803.144730273033.csv,data/series.160803.144507150166_series.160803.144730273033.roi
1.86,/afs/psi.ch/project/hedpc/raw_data/2016/pilatus/2016_08_03/microspheres/series.160803.145211284901.h5,/afs/psi.ch/project/hedpc/raw_data/2016/pilatus/2016_08_03/microspheres/series.160803.145434489612.h5,80,/afs/psi.ch/project/hedpc/raw_data/2016/pilatus/2016_08_03/microspheres/series.160803.145211284901_series.160803.145434489612.h5,data/series.160803.145211284901_series.160803.145434489612.csv,data/series.160803.145211284901_series.160803.145434489612.roi
3.62,/afs/psi.ch/project/hedpc/raw_data/2016/pilatus/2016_08_03/microspheres/series.160803.151545310191.h5,/afs/psi.ch/project/hedpc/raw_data/2016/pilatus/2016_08_03/microspheres/series.160803.151808510646.h5,80,/afs/psi.ch/project/hedpc/raw_data/2016/pilatus/2016_08_03/microspheres/series.160803.151545310191_series.160803.151808510646.h5,data/series.160803.151545310191_series.160803.151808510646.csv,data/series.160803.151545310191_series.160803.151808510646.roi
7.75,/afs/psi.ch/project/hedpc/raw_data/2016/pilatus/2016_08_03/microspheres/series.160803.152631961088.h5,/afs/psi.ch/project/hedpc/raw_data/2016/pilatus/2016_08_03/microspheres/series.160803.152855225691.h5,80,/afs/psi.ch/project/hedpc/raw_data/2016/pilatus/2016_08_03/microspheres/series.160803.152631961088_series.160803.152855225691.h5,data/series.160803.152631961088_series.160803.152855225691.csv,data/series.160803.152631961088_series.160803.152855225691.roi
0.261,/afs/psi.ch/project/hedpc/raw_data/2016/pilatus/2016_08_04/microspheres120kV/series.160804.104726766967.h5,/afs/psi.ch/project/hedpc/raw_data/2016/pilatus/2016_08_04/microspheres120kV/series.160804.104949576816.h5,120,/afs/psi.ch/project/hedpc/raw_data/2016/pilatus/2016_08_04/microspheres120kV/series.160804.104726766967_series.160804.104949576816.h5,data/series.160804.104726766967_series.160804.104949576816.csv,data/series.160804.104726766967_series.160804.104949576816.roi
